variable,distance,k,I,p_norm,p_sim,z_norm
closeness_500,500,105,0.1877603462087726,0.0,0.001,334.8510070516461
close_N1_500,500,105,0.20782244596570673,0.0,0.001,370.6262592986588
close_N1.2_500,500,105,0.3397877719433291,0.0,0.001,605.950222488351
close_N2_500,500,105,0.7893780888401444,0.0,0.001,1407.6712382179585
harmonic_500,500,105,0.6273730063952231,0.0,0.001,1118.7796087282818
gravity_500,500,105,0.6659527671392155,0.0,0.001,1187.576030287729
betw_500,500,105,0.3807059091698399,0.0,0.001,678.9164971301838
betw_wt_500,500,105,0.36208954936947757,0.0,0.001,645.7193255555128
NACH_500,500,105,0.23171883150022346,0.0,0.001,413.23890855506176
closeness_1000,1000,406,0.11614769848167879,0.0,0.001,409.31736375647057
close_N1_1000,1000,406,0.21149570148499383,0.0,0.001,745.2825033885922
close_N1.2_1000,1000,406,0.3947503057780846,0.0,0.001,1390.9925002452321
close_N2_1000,1000,406,0.7529221251075319,0.0,0.001,2653.0351388217846
harmonic_1000,1000,406,0.6441823905159788,0.0,0.001,2269.8833268814674
gravity_1000,1000,406,0.6663476629469514,0.0,0.001,2347.9841639487813
betw_1000,1000,406,0.26469808244830634,0.0,0.001,932.7446922765878
betw_wt_1000,1000,406,0.27548014050614933,0.0,0.001,970.7360033352884
NACH_1000,1000,406,0.11853308844760363,0.0,0.001,417.72244669198983
closeness_2000,2000,1528,0.06188364184026948,0.0,0.001,428.04883900933567
close_N1_2000,2000,1528,0.1333637703286332,0.0,0.001,922.333513990816
close_N1.2_2000,2000,1528,0.3581095905025099,0.0,0.001,2476.449560329135
close_N2_2000,2000,1528,0.7070486775140156,0.0,0.001,4889.361328386376
harmonic_2000,2000,1528,0.621503352414585,0.0,0.001,4297.815900207123
gravity_2000,2000,1528,0.6016348570198483,0.0,0.001,4160.425369492603
betw_2000,2000,1528,0.14559923524360718,0.0,0.001,1006.941683095181
betw_wt_2000,2000,1528,0.16211645430554808,0.0,0.001,1121.1581573556941
NACH_2000,2000,1528,0.05358716176464702,0.0,0.001,370.67872728189315
close_N2_500,500,8,0.9329752949646807,0.0,0.001,466.98005123204376
close_N2_1000,1000,8,0.9664940005903025,0.0,0.001,483.75677250841534
close_N2_2000,2000,8,0.9838045039424014,0.0,0.001,492.4209940071675
close_N2_500,500,20,0.8984607115436124,0.0,0.001,702.9548177721247
close_N2_1000,1000,20,0.9482769420894303,0.0,0.001,741.9302130866297
close_N2_2000,2000,20,0.9748359320254585,0.0,0.001,762.7095277912739
close_N2_500,500,50,0.8471550528452122,0.0,0.001,1042.4253874364658
close_N2_1000,1000,50,0.9181315685875147,0.0,0.001,1129.7602359197751
close_N2_2000,2000,50,0.9584147101711318,0.0,0.001,1179.3276460672428
