variable,distance,k,I,N,Neff,Neff_ratio
closeness_500,500,86,0.20908533206056165,42186,27595,0.6541429682151023
close_N1_500,500,86,0.17928953831763925,42186,29358,0.6959363540638008
close_N1.2_500,500,86,0.5264231532153648,42186,13088,0.31025266210556335
close_N2_500,500,86,0.8376539531411751,42186,3726,0.08834418829579985
harmonic_500,500,86,0.7945306973160611,42186,4830,0.11449751346758419
gravity_500,500,86,0.7830747842904581,42186,5132,0.12165794593739564
betw_500,500,86,0.4598439185203933,42186,15609,0.37000947473006235
betw_wt_500,500,86,0.46554127443391785,42186,15384,0.36468350287338236
NACH_500,500,86,0.28342666559595364,42186,23553,0.5583282267797581
closeness_1000,1000,330,0.12807531103292993,42186,32606,0.7729312754559676
close_N1_1000,1000,330,0.18739184851741256,42186,28870,0.6843639296473332
close_N1.2_1000,1000,330,0.4208794512722469,42186,17194,0.4075789457080346
close_N2_1000,1000,330,0.7909131050737962,42186,4925,0.11674876594171119
harmonic_1000,1000,330,0.7415086725788477,42186,6261,0.14842953784340054
gravity_1000,1000,330,0.7181309114238748,42186,6920,0.16405565297846283
betw_1000,1000,330,0.33452781222612593,42186,21036,0.49865741401357516
betw_wt_1000,1000,330,0.3537667322118045,42186,20137,0.4773593946516692
NACH_1000,1000,330,0.13557963753792932,42186,32112,0.761215095698824
closeness_2000,2000,1200,0.06415920903642623,42186,37099,0.8794180260028551
close_N1_2000,2000,1200,0.14715713942144296,42186,31362,0.7434403110707917
close_N1.2_2000,2000,1200,0.3467258559511476,42186,20463,0.4850832418209322
close_N2_2000,2000,1200,0.7289209177750571,42186,6614,0.1567909089640686
harmonic_2000,2000,1200,0.6641239949820408,42186,8514,0.20183352083784115
gravity_2000,2000,1200,0.6248398764068175,42186,9740,0.23089051976174682
betw_2000,2000,1200,0.18087984229212328,42186,29262,0.6936524177751565
betw_wt_2000,2000,1200,0.20946385019627728,42186,27573,0.6536252817109257
NACH_2000,2000,1200,0.060250256143488785,42186,37391,0.8863471038193556
